"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"9711","2544G",53.2162755049971,6.56936779297269,52.0425265562463,4.25954339365026,0,1,492.8,37.5,364.8,90.5,10,293.9,2.6,291.3,"2543BG","2543B",1
"2533H","2596",52.0487012158308,4.29070086181086,52.0927435368403,4.31950877266799,1,0,39.6,17.9,21.8,0,0,8.3,1.3,7,"2533SR","2533S",1
"2245","2544E",52.1212697387586,4.39936927067405,52.0464828004557,4.25028829153627,0,1,93,49,34,9.9,2,17.5,3.7,13.8,"2545AA","2545A",1
"2542T","2624",52.0387486365841,4.27284350201484,51.9951639454664,4.35577193846277,1,0,53.3,19.9,27.2,6.3,1,11.1,1.5,9.6,"2545DM","2545D",1
"2624","2542T",51.9951639454664,4.35577193846277,52.0387486365841,4.27284350201484,0,1,42.8,18.9,20.3,3.6,1,11.5,1.4,10.1,"2545DM","2545D",1
"2546C","2522",52.0566592189878,4.27346932211107,52.0603806984478,4.32727437307002,1,0,29.8,9.8,16.2,3.7,1,5.6,0.7,4.9,"2533AD","2533A",1
"2522","2546C",52.0603806984478,4.32727437307002,52.0566592189878,4.27346932211107,0,1,25.7,7,15.3,3.4,1,5.2,0.5,4.7,"2532CP","2532C",1
"2546T","2522",52.0592568478597,4.27600442135472,52.0603806984478,4.32727437307002,1,0,28.7,10.1,14.9,3.7,1,5.1,0.7,4.4,"2533SW","2533S",1
"2522","2546T",52.0603806984478,4.32727437307002,52.0592568478597,4.27600442135472,0,1,24,7.3,13.2,3.4,1,4.6,0.5,4.1,"2532CP","2532C",1
"3072","2533H",51.902110213157,4.48910082781826,52.0487012158308,4.29070086181086,0,1,91.7,30,56.2,5.6,1,36,1.8,34.2,"2533SR","2533S",1
"2554","2533G",52.0649874429837,4.21969140039765,52.0481019628413,4.28904693155921,0,1,34.8,8.3,22.8,3.6,1,7.7,0.6,7.1,"2545CG","2545C",1
"2544C","2566",52.0467546104116,4.25338619540227,52.0807850576839,4.25230755076599,1,0,52.5,24.3,17.7,10.5,1,8.2,1.9,6.3,"-1","-1",1
"2593","2533L",52.085306948222,4.3427389060951,52.0524663644024,4.29612770686802,0,1,37.7,8,20.7,9,1,6.7,0.6,6.1,"2531BJ","2531B",1
"2546R","3171",52.0570615813484,4.26887575509814,51.8549780764941,4.39920958999336,1,0,106.2,17.6,77.8,10.7,3,46.6,0.8,45.8,"2545CZ","2545C",1
"3171","2533S",51.8549780764941,4.39920958999336,52.0553882189754,4.28645029912797,0,1,105.7,15.2,71.1,19.3,4,45.7,0.8,44.9,"2533SP","2533S",1
"3171","2546R",51.8549780764941,4.39920958999336,52.0570615813484,4.26887575509814,0,1,102.6,22.8,71,8.9,2,46.2,1.4,44.8,"2545CG","2545C",1
"2533V","2275",52.0502735545728,4.28958147252202,52.0628271752404,4.35271576940429,1,0,37.9,12,20.8,5.2,1,7.8,0.9,6.9,"2533SR","2533S",1
"3521","2544J",52.0833123706544,5.10940578791336,52.0450156297235,4.25830282422894,0,1,206.4,41.1,146.6,18.7,2,110.3,2.5,107.8,"2544EB","2544E",1
"2544G","1119",52.0425265562463,4.25954339365026,52.2821571917182,4.76035698526118,1,0,155.1,18.2,120.7,16.3,4,65.8,1.2,64.6,"2544WB","2544W",1
"2722","2545N",52.0534861981297,4.5131635276735,52.0478918255789,4.27889515568648,0,1,66.7,22.6,40.7,3.3,1,21.7,1.6,20.1,"2545JT","2545J",1
"2533C","2593",52.0487353984816,4.29328303683979,52.085306948222,4.3427389060951,1,0,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
