"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2641","2544C",52.01597,4.434602,52.0467546104116,4.25338619540227,0,1,68.7,23.1,40.7,4.9,1,22.1,1.4,20.7,"2544CX"
"2544T","2552",52.043708831961,4.25562360610011,52.05459,4.247789,1,0,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2552","2544T",52.05459,4.247789,52.043708831961,4.25562360610011,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544T","2914",52.043708831961,4.25562360610011,51.97679,4.621772,1,0,114.6,26.9,77.1,10.6,1,41.8,1.9,39.9,"2544WB"
"2914","2544T",51.97679,4.621772,52.043708831961,4.25562360610011,0,1,119.9,42.4,59,18.5,3,38.3,3.2,35.1,"2543BG"
"2914","2543B",51.97679,4.621772,52.0408197781465,4.2614617830182,0,1,117.8,42,63.1,12.7,3,39.5,3.1,36.4,"2545JT"
"2544R","2525",52.0399609296029,4.25012156605765,52.06238,4.303305,1,0,30.5,14.8,15.8,0,0,6,1.1,4.9,"2543EB"
"2525","2544R",52.06238,4.303305,52.0399609296029,4.25012156605765,0,1,29.1,14.4,14.6,0,0,6.1,1.1,5,"2544RM"
"2544M","2564",52.0396112782528,4.25129396965672,52.06811,4.258003,1,0,30.4,5,19.9,5.4,1,6.9,0.4,6.5,"2543AA"
"2564","2544M",52.06811,4.258003,52.0396112782528,4.25129396965672,0,1,34.8,12.1,15.3,7.4,1,5.2,0.9,4.3,"2545JT"
"2544M","2681",52.0396112782528,4.25129396965672,52.03159,4.185465,1,0,47.1,38.4,8.7,0,0,7.5,2.9,4.6,"-1"
"2681","2544M",52.03159,4.185465,52.0396112782528,4.25129396965672,0,1,45.4,16.4,25.8,3.2,1,12,1.2,10.8,"2545CZ"
"2544R","1012",52.0399609296029,4.25012156605765,52.37454,4.896023,1,0,202.4,20,157.7,24.6,5,83.8,1.4,82.4,"2543EB"
"1012","2544R",52.37454,4.896023,52.0399609296029,4.25012156605765,0,1,195.9,13.7,156.2,26,4,76.1,0.9,75.2,"2544CX"
"2671","2544R",51.99332,4.208966,52.0399609296029,4.25012156605765,0,1,29.9,16.9,13,0,0,8,1.2,6.8,"2544EC"
"2544S","2284",52.0416822739541,4.25091669844794,52.04115,4.313038,1,0,28.6,10.8,15.7,2.2,1,6.2,0.8,5.4,"2545JT"
"2284","2544S",52.04115,4.313038,52.0416822739541,4.25091669844794,0,1,30.2,10.8,15.2,4.2,1,6.1,0.8,5.3,"2545JT"
"2544C","2382",52.0467546104116,4.25338619540227,52.12776,4.522523,1,0,108.5,48.8,54.7,4.9,1,32.4,3.6,28.8,"2544WB"
"2382","2544C",52.12776,4.522523,52.0467546104116,4.25338619540227,0,1,111.8,50.3,55,6.6,1,33.7,3.6,30.1,"2544CX"
